epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
15,100,0,823,12345,0.000725,2.0391500000000002,2.0391500000000002,0.2529,0.2529,0.0829,0.0829,18670.0,2
15,100,100,823,12445,0.000725,1.4592,1.4654,0.24430000000000002,0.24405,0.1328,0.1192,18670.0,2
15,100,200,823,12545,0.000725,1.4594,1.4625,0.24095,0.2434,0.1432,0.1458,18670.0,2
15,100,300,823,12645,0.000725,1.4596,1.4615,0.24545,0.2426,0.1343,0.1397,18670.0,2
15,100,400,823,12745,0.000725,1.4591,1.4611,0.23595,0.24175,0.1132,0.1333,18670.0,2
15,100,500,823,12845,0.000725,1.45965,1.4608,0.2363,0.24080000000000001,0.1023,0.1315,18670.0,2
15,100,600,823,12945,0.000725,1.45995,1.4606,0.23735,0.2399,0.0935,0.1308,18670.0,2
15,100,700,823,13045,0.000725,1.4602,1.4606,0.23465,0.23909999999999998,0.0877,0.1297,18670.0,2
15,100,800,823,13145,0.000725,1.4618,1.4605,0.22815000000000002,0.23815,0.1448,0.1275,18670.0,2
16,100,0,823,13168,0.000725,2.56505,2.56505,0.2375,0.2375,0.0799,0.0799,18670.0,2
16,100,100,823,13268,0.000725,1.4625,1.4713500000000002,0.22675,0.2306,0.0766,0.1161,18670.0,2
16,100,200,823,13368,0.000725,1.4597,1.4659,0.23065000000000002,0.23005,0.1676,0.1169,18670.0,2
16,100,300,823,13468,0.000725,1.4599,1.46395,0.2273,0.2289,0.1517,0.117,18670.0,2
16,100,400,823,13568,0.000725,1.4625,1.4633500000000002,0.22525,0.22835,0.0879,0.118,18670.0,2
16,100,500,823,13668,0.000725,1.4629,1.46315,0.21744999999999998,0.22760000000000002,0.0606,0.1184,18670.0,2
16,100,600,823,13768,0.000725,1.459,1.46275,0.22185,0.22685,0.0662,0.1175,18670.0,2
16,100,700,823,13868,0.000725,1.4591,1.4624000000000001,0.21565,0.22610000000000002,0.084,0.1146,18670.0,2
16,100,800,823,13968,0.000725,1.4619,1.46225,0.22615000000000002,0.2254,0.1439,0.1155,18670.0,2
17,100,0,823,13991,0.000725,1.9729999999999999,1.9729999999999999,0.22055000000000002,0.22055000000000002,0.1073,0.1073,18670.0,2
17,100,100,823,14091,0.000725,1.4624,1.4656,0.22105,0.21894999999999998,0.1074,0.1138,18670.0,2
